Combination,Pattern
FF99999F,[A-F]{2}\d{5}[A-F]
FF999999,[A-F]{2}\d{6}
F9FFFFFF,[A-F]\d[A-F]{6}
F9FFFFF9,[A-F]\d[A-F]{5}\d
F9FFFF9F,[A-F]\d[A-F]{4}\d[A-F]
F9FFFF99,[A-F]\d[A-F]{4}\d{2}
F9FFF9FF,[A-F]\d[A-F]{3}\d[A-F]{2}
F9FFF9F9,[A-F]\d[A-F]{3}\d[A-F]\d
F9FFF99F,[A-F]\d[A-F]{3}\d{2}[A-F]
F9FFF999,[A-F]\d[A-F]{3}\d{3}
F9FF9FFF,[A-F]\d[A-F]{2}\d[A-F]{3}
F9FF9FF9,[A-F]\d[A-F]{2}\d[A-F]{2}\d
F9FF9F9F,[A-F]\d[A-F]{2}\d[A-F]\d[A-F]
F9FF9F99,[A-F]\d[A-F]{2}\d[A-F]\d{2}
F9FF99FF,[A-F]\d[A-F]{2}\d{2}[A-F]{2}
F9FF99F9,[A-F]\d[A-F]{2}\d{2}[A-F]\d
F9FF999F,[A-F]\d[A-F]{2}\d{3}[A-F]
F9FF9999,[A-F]\d[A-F]{2}\d{4}
F9F9FFFF,[A-F]\d[A-F]\d[A-F]{4}
F9F9FFF9,[A-F]\d[A-F]\d[A-F]{3}\d
F9F9FF9F,[A-F]\d[A-F]\d[A-F]{2}\d[A-F]
F9F9FF99,[A-F]\d[A-F]\d[A-F]{2}\d{2}
F9F9F9FF,[A-F]\d[A-F]\d[A-F]\d[A-F]{2}
F9F9F9F9,[A-F]\d[A-F]\d[A-F]\d[A-F]\d
F9F9F99F,[A-F]\d[A-F]\d[A-F]\d{2}[A-F]
F9F9F999,[A-F]\d[A-F]\d[A-F]\d{3}
F9F99FFF,[A-F]\d[A-F]\d{2}[A-F]{3}
F9F99FF9,[A-F]\d[A-F]\d{2}[A-F]{2}\d
F9F99F9F,[A-F]\d[A-F]\d{2}[A-F]\d[A-F]
F9F99F99,[A-F]\d[A-F]\d{2}[A-F]\d{2}
F9F999FF,[A-F]\d[A-F]\d{3}[A-F]{2}
F9F999F9,[A-F]\d[A-F]\d{3}[A-F]\d
F9F9999F,[A-F]\d[A-F]\d{4}[A-F]
F9F99999,[A-F]\d[A-F]\d{5}
F99FFFFF,[A-F]\d{2}[A-F]{5}
F99FFFF9,[A-F]\d{2}[A-F]{4}\d
F99FFF9F,[A-F]\d{2}[A-F]{3}\d[A-F]
F99FFF99,[A-F]\d{2}[A-F]{3}\d{2}
F99FF9FF,[A-F]\d{2}[A-F]{2}\d[A-F]{2}
F99FF9F9,[A-F]\d{2}[A-F]{2}\d[A-F]\d
F99FF99F,[A-F]\d{2}[A-F]{2}\d{2}[A-F]
F99FF999,[A-F]\d{2}[A-F]{2}\d{3}
F99F9FFF,[A-F]\d{2}[A-F]\d[A-F]{3}
F99F9FF9,[A-F]\d{2}[A-F]\d[A-F]{2}\d
F99F9F9F,[A-F]\d{2}[A-F]\d[A-F]\d[A-F]
F99F9F99,[A-F]\d{2}[A-F]\d[A-F]\d{2}
F99F99FF,[A-F]\d{2}[A-F]\d{2}[A-F]{2}
F99F99F9,[A-F]\d{2}[A-F]\d{2}[A-F]\d
F99F999F,[A-F]\d{2}[A-F]\d{3}[A-F]
F99F9999,[A-F]\d{2}[A-F]\d{4}
F999FFFF,[A-F]\d{3}[A-F]{4}
F999FFF9,[A-F]\d{3}[A-F]{3}\d
F999FF9F,[A-F]\d{3}[A-F]{2}\d[A-F]
F999FF99,[A-F]\d{3}[A-F]{2}\d{2}
F999F9FF,[A-F]\d{3}[A-F]\d[A-F]{2}
F999F9F9,[A-F]\d{3}[A-F]\d[A-F]\d
F999F99F,[A-F]\d{3}[A-F]\d{2}[A-F]
F999F999,[A-F]\d{3}[A-F]\d{3}
F9999FFF,[A-F]\d{4}[A-F]{3}
F9999FF9,[A-F]\d{4}[A-F]{2}\d
F9999F9F,[A-F]\d{4}[A-F]\d[A-F]
F9999F99,[A-F]\d{4}[A-F]\d{2}
F99999FF,[A-F]\d{5}[A-F]{2}
F99999F9,[A-F]\d{5}[A-F]\d
F999999F,[A-F]\d{6}[A-F]
F9999999,[A-F]\d{7}
9FFFFFFF,\d[A-F]{7}
9FFFFFF9,\d[A-F]{6}\d
9FFFFF9F,\d[A-F]{5}\d[A-F]
9FFFFF99,\d[A-F]{5}\d{2}
9FFFF9FF,\d[A-F]{4}\d[A-F]{2}
9FFFF9F9,\d[A-F]{4}\d[A-F]\d
9FFFF99F,\d[A-F]{4}\d{2}[A-F]
9FFFF999,\d[A-F]{4}\d{3}
9FFF9FFF,\d[A-F]{3}\d[A-F]{3}
9FFF9FF9,\d[A-F]{3}\d[A-F]{2}\d
9FFF9F9F,\d[A-F]{3}\d[A-F]\d[A-F]
9FFF9F99,\d[A-F]{3}\d[A-F]\d{2}
9FFF99FF,\d[A-F]{3}\d{2}[A-F]{2}
9FFF99F9,\d[A-F]{3}\d{2}[A-F]\d
9FFF999F,\d[A-F]{3}\d{3}[A-F]
9FFF9999,\d[A-F]{3}\d{4}
9FF9FFFF,\d[A-F]{2}\d[A-F]{4}
9FF9FFF9,\d[A-F]{2}\d[A-F]{3}\d
9FF9FF9F,\d[A-F]{2}\d[A-F]{2}\d[A-F]
9FF9FF99,\d[A-F]{2}\d[A-F]{2}\d{2}
9FF9F9FF,\d[A-F]{2}\d[A-F]\d[A-F]{2}
9FF9F9F9,\d[A-F]{2}\d[A-F]\d[A-F]\d
9FF9F99F,\d[A-F]{2}\d[A-F]\d{2}[A-F]
9FF9F999,\d[A-F]{2}\d[A-F]\d{3}
9FF99FFF,\d[A-F]{2}\d{2}[A-F]{3}
9FF99FF9,\d[A-F]{2}\d{2}[A-F]{2}\d
9FF99F9F,\d[A-F]{2}\d{2}[A-F]\d[A-F]
9FF99F99,\d[A-F]{2}\d{2}[A-F]\d{2}
9FF999FF,\d[A-F]{2}\d{3}[A-F]{2}
9FF999F9,\d[A-F]{2}\d{3}[A-F]\d
9FF9999F,\d[A-F]{2}\d{4}[A-F]
9FF99999,\d[A-F]{2}\d{5}
9F9FFFFF,\d[A-F]\d[A-F]{5}
9F9FFFF9,\d[A-F]\d[A-F]{4}\d
9F9FFF9F,\d[A-F]\d[A-F]{3}\d[A-F]
9F9FFF99,\d[A-F]\d[A-F]{3}\d{2}
9F9FF9FF,\d[A-F]\d[A-F]{2}\d[A-F]{2}
9F9FF9F9,\d[A-F]\d[A-F]{2}\d[A-F]\d
9F9FF99F,\d[A-F]\d[A-F]{2}\d{2}[A-F]
9F9FF999,\d[A-F]\d[A-F]{2}\d{3}
9F9F9FFF,\d[A-F]\d[A-F]\d[A-F]{3}
9F9F9FF9,\d[A-F]\d[A-F]\d[A-F]{2}\d
9F9F9F9F,\d[A-F]\d[A-F]\d[A-F]\d[A-F]
9F9F9F99,\d[A-F]\d[A-F]\d[A-F]\d{2}
9F9F99FF,\d[A-F]\d[A-F]\d{2}[A-F]{2}
9F9F99F9,\d[A-F]\d[A-F]\d{2}[A-F]\d
9F9F999F,\d[A-F]\d[A-F]\d{3}[A-F]
9F9F9999,\d[A-F]\d[A-F]\d{4}
9F99FFFF,\d[A-F]\d{2}[A-F]{4}
9F99FFF9,\d[A-F]\d{2}[A-F]{3}\d
9F99FF9F,\d[A-F]\d{2}[A-F]{2}\d[A-F]
9F99FF99,\d[A-F]\d{2}[A-F]{2}\d{2}
9F99F9FF,\d[A-F]\d{2}[A-F]\d[A-F]{2}
9F99F9F9,\d[A-F]\d{2}[A-F]\d[A-F]\d
9F99F99F,\d[A-F]\d{2}[A-F]\d{2}[A-F]
9F99F999,\d[A-F]\d{2}[A-F]\d{3}
9F999FFF,\d[A-F]\d{3}[A-F]{3}
9F999FF9,\d[A-F]\d{3}[A-F]{2}\d
9F999F9F,\d[A-F]\d{3}[A-F]\d[A-F]
9F999F99,\d[A-F]\d{3}[A-F]\d{2}
9F9999FF,\d[A-F]\d{4}[A-F]{2}
9F9999F9,\d[A-F]\d{4}[A-F]\d
9F99999F,\d[A-F]\d{5}[A-F]
9F999999,\d[A-F]\d{6}
99FFFFFF,\d{2}[A-F]{6}
99FFFFF9,\d{2}[A-F]{5}\d
99FFFF9F,\d{2}[A-F]{4}\d[A-F]
99FFFF99,\d{2}[A-F]{4}\d{2}
99FFF9FF,\d{2}[A-F]{3}\d[A-F]{2}
99FFF9F9,\d{2}[A-F]{3}\d[A-F]\d
99FFF99F,\d{2}[A-F]{3}\d{2}[A-F]
99FFF999,\d{2}[A-F]{3}\d{3}
99FF9FFF,\d{2}[A-F]{2}\d[A-F]{3}
99FF9FF9,\d{2}[A-F]{2}\d[A-F]{2}\d
99FF9F9F,\d{2}[A-F]{2}\d[A-F]\d[A-F]
99FF9F99,\d{2}[A-F]{2}\d[A-F]\d{2}
99FF99FF,\d{2}[A-F]{2}\d{2}[A-F]{2}
99FF99F9,\d{2}[A-F]{2}\d{2}[A-F]\d
99FF999F,\d{2}[A-F]{2}\d{3}[A-F]
99FF9999,\d{2}[A-F]{2}\d{4}
99F9FFFF,\d{2}[A-F]\d[A-F]{4}
99F9FFF9,\d{2}[A-F]\d[A-F]{3}\d
99F9FF9F,\d{2}[A-F]\d[A-F]{2}\d[A-F]
99F9FF99,\d{2}[A-F]\d[A-F]{2}\d{2}
99F9F9FF,\d{2}[A-F]\d[A-F]\d[A-F]{2}
99F9F9F9,\d{2}[A-F]\d[A-F]\d[A-F]\d
99F9F99F,\d{2}[A-F]\d[A-F]\d{2}[A-F]
99F9F999,\d{2}[A-F]\d[A-F]\d{3}
99F99FFF,\d{2}[A-F]\d{2}[A-F]{3}
99F99FF9,\d{2}[A-F]\d{2}[A-F]{2}\d
99F99F9F,\d{2}[A-F]\d{2}[A-F]\d[A-F]
99F99F99,\d{2}[A-F]\d{2}[A-F]\d{2}
99F999FF,\d{2}[A-F]\d{3}[A-F]{2}
99F999F9,\d{2}[A-F]\d{3}[A-F]\d
99F9999F,\d{2}[A-F]\d{4}[A-F]
99F99999,\d{2}[A-F]\d{5}
999FFFFF,\d{3}[A-F]{5}
999FFFF9,\d{3}[A-F]{4}\d
999FFF9F,\d{3}[A-F]{3}\d[A-F]
999FFF99,\d{3}[A-F]{3}\d{2}
999FF9FF,\d{3}[A-F]{2}\d[A-F]{2}
999FF9F9,\d{3}[A-F]{2}\d[A-F]\d
999FF99F,\d{3}[A-F]{2}\d{2}[A-F]
999FF999,\d{3}[A-F]{2}\d{3}
999F9FFF,\d{3}[A-F]\d[A-F]{3}
999F9FF9,\d{3}[A-F]\d[A-F]{2}\d
999F9F9F,\d{3}[A-F]\d[A-F]\d[A-F]
999F9F99,\d{3}[A-F]\d[A-F]\d{2}
999F99FF,\d{3}[A-F]\d{2}[A-F]{2}
999F99F9,\d{3}[A-F]\d{2}[A-F]\d
999F999F,\d{3}[A-F]\d{3}[A-F]
999F9999,\d{3}[A-F]\d{4}
9999FFFF,\d{4}[A-F]{4}
9999FFF9,\d{4}[A-F]{3}\d
9999FF9F,\d{4}[A-F]{2}\d[A-F]
9999FF99,\d{4}[A-F]{2}\d{2}
9999F9FF,\d{4}[A-F]\d[A-F]{2}
9999F9F9,\d{4}[A-F]\d[A-F]\d
9999F99F,\d{4}[A-F]\d{2}[A-F]
9999F999,\d{4}[A-F]\d{3}
99999FFF,\d{5}[A-F]{3}
99999FF9,\d{5}[A-F]{2}\d
99999F9F,\d{5}[A-F]\d[A-F]
99999F99,\d{5}[A-F]\d{2}
999999FF,\d{6}[A-F]{2}
999999F9,\d{6}[A-F]\d
9999999F,\d{7}[A-F]
99999999,\d{8}
